fixture_id,date_utc,home_team_id,home_team,away_team_id,away_team,home_goals,away_goals,home_xG_avg,away_xG_avg,home_xGA_avg,away_xGA_avg,home_team_rating,away_team_rating,home_form_points,away_form_points,home_win_streak,away_win_streak,rest_days_home,rest_days_away,h2h_home_wins,h2h_away_wins,key_players_missing_home,key_players_missing_away,match_importance
1378981,2025-08-23 14:00:00+00:00,55,Brentford,66,Aston Villa,1,0,,,,,6.2727272727272725,6.872727272727272,0.0,1.0,,,6.041666666666667,7.104166666666667,0,0,0,0,1.0
1378982,2025-08-23 14:00:00+00:00,44,Burnley,746,Sunderland,2,0,,,,,6.363636363636363,7.154545454545455,0.0,3.0,,,7.0,7.0,0,0,0,0,1.0
1378983,2025-08-24 13:00:00+00:00,52,Crystal Palace,65,Nottingham Forest,1,1,,,,,7.081818181818182,7.172727272727273,1.0,3.0,,,7.0,7.0,0,0,0,0,1.0
1378984,2025-08-24 13:00:00+00:00,45,Everton,51,Brighton,2,0,,,,,6.645454545454545,6.972727272727273,0.0,1.0,,,5.75,7.958333333333333,0,0,0,0,1.0
1378985,2025-08-24 15:30:00+00:00,36,Fulham,33,Manchester United,1,1,,,,,6.609090909090909,7.054545454545456,1.0,0.0,,,8.0625,7.0,0,0,0,0,1.0
1378986,2025-08-23 11:30:00+00:00,50,Manchester City,47,Tottenham,0,2,,,,,7.454545454545454,7.663636363636363,3.0,3.0,,,6.791666666666667,6.895833333333333,0,0,0,0,1.0
1378987,2025-08-25 19:00:00+00:00,34,Newcastle,40,Liverpool,2,3,,,,,7.090909090909091,7.254545454545454,1.0,3.0,,,9.3125,10.0,0,0,0,0,1.0
1378988,2025-08-22 19:00:00+00:00,48,West Ham,49,Chelsea,1,5,,,,,6.490909090909091,7.072727272727272,0.0,1.0,,,6.208333333333333,5.25,0,0,0,0,1.0
1378989,2025-08-31 18:00:00+00:00,66,Aston Villa,52,Crystal Palace,0,3,0.2,0.66,1.43,1.6,6.790909090909091,6.927272727272728,1.0,2.0,,,8.166666666666666,7.208333333333333,0,0,0,0,1.0
1378990,2025-08-31 13:00:00+00:00,51,Brighton,50,Manchester City,2,1,1.48,2.47,0.76,0.56,6.640909090909091,7.059090909090909,1.0,3.0,,,7.0,8.0625,0,0,1,0,1.0
1378991,2025-08-30 11:30:00+00:00,49,Chelsea,36,Fulham,2,0,1.6,0.76,0.66,1.48,7.25909090909091,6.7,4.0,2.0,,,7.6875,5.833333333333333,0,0,0,0,1.0
1378992,2025-08-30 16:30:00+00:00,63,Leeds,34,Newcastle,0,0,2.13,1.43,0.8,0.2,6.404545454545454,6.818181818181818,3.0,1.0,,,7.0,4.895833333333333,0,0,0,0,1.0
1378993,2025-08-31 15:30:00+00:00,40,Liverpool,42,Arsenal,1,0,2.21,1.31,1.7,1.52,7.004545454545454,7.377272727272727,6.0,6.0,,,5.854166666666667,7.958333333333333,0,0,0,0,1.0
